B00007EDLW,[-0.4767],[1],"[[disappoint, item, work]]","[[disappoint item work, -0.4767, 1]]"
B000TUP97A,[0.6597],[5],"[[price, work]]","[[price work, 0.6597, 5]]"
B001H52Z64,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B001J5MQ20,[0.6369],[5],[[radio]],"[[radio, 0.6369, 5]]"
B001WMFYH4,"[0.4404, 0.4404, 0.5719, 0.4728, 0.6249, 0.7178, 0.0, 0.4927, 0.4404, 0.6369, 0.872, -0.7122, 0.0, 0.7845]","[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[[expect], [work, great, use, moutains, galinburg, recepton, clear, get, separate, use, car, follow, moutain, batery, life, good, charge, day, plan, use, cruise, february], [google, pay, attention, recommendation, user, agree], [product, comment, regard, lack, coverage, wood, reception, parksthe, battery, life], [buy, use, rv, need, direction, back, husband, use, headset, talk, rid, rv, hear, talk, help, communicate, drive], [walkie, talkie, bought, use, staff, month, single, work, stop, work, return, period, end, eat, cost, disappoint, buy], [work, beyond, describe, limit, use, car, convoy, remote], [excellent], [use, backing, travel, trailer, nice, yell], [item], [range, set, work, kid]]","[[expect, 0.4404, 5], [work great use moutains galinburg recepton clear get separate use car follow moutain batery life good charge day plan use cruise february, 0.4404, 4], [google pay attention recommendation user agree, 0.5719, 5], [product comment regard lack coverage wood reception parksthe battery life, 0.4728, 5], [buy use rv need direction back husband use headset talk rid rv hear talk help communicate drive, 0.6249, 5], [walkie talkie bought use staff month single work stop work return period end eat cost disappoint buy, 0.7178, 5], [work beyond describe limit use car convoy remote, 0.0, 5], [excellent, 0.4927, 5], [use backing travel trailer nice yell, 0.4404, 5], [item, 0.6369, 5], [range set work kid, 0.872, 5], [, -0.7122, 1], [, 0.0, 5], [, 0.7845, 5]]"
B002MZZQSM,[0.6479],[5],"[[product, need, usb, charger, buy, good, thank]]","[[product need usb charger buy good thank, 0.6479, 5]]"
B002WZGMXA,[0.4404],[4],[[work]],"[[work, 0.4404, 4]]"
B002XT1CJE,[0.5927],[2],"[[work, minute, sudden, stop, work, packaging, installation, go, ok, fact, stop, work]]","[[work minute sudden stop work packaging installation go ok fact stop work, 0.5927, 2]]"
B00333A0TW,[0.5719],[5],"[[excellent, buy]]","[[excellent buy, 0.5719, 5]]"
B003UBPY2K,"[0.0, 0.8957]","[3, 5]","[[take, time, aware, come, charger], [simplicity, phone, everything, need, price, arrive, recommend, seller]]","[[take time aware come charger, 0.0, 3], [simplicity phone everything need price arrive recommend seller, 0.8957, 5]]"
B0042B82W6,[-0.296],[5],"[[issue, use, year]]","[[issue use year, -0.296, 5]]"
B004U299S8,"[0.7684, 0.7964]","[4, 5]","[[feel, make, work, iphonebr, last, year, buy], [radioit, function, need, install, need, get, speaker, make, pop]]","[[feel make work iphonebr last year buy, 0.7684, 4], [radioit function need install need get speaker make pop, 0.7964, 5]]"
B004WK4Q3G,[0.0],[5],[[geat]],"[[geat, 0.0, 5]]"
B005KW9LI0,[-0.8402],[4],"[[bring, poor, ipod, back, life, fear, problem, go, deeper, simple, battery, swap, tool, nice, addition]]","[[bring poor ipod back life fear problem go deeper simple battery swap tool nice addition, -0.8402, 4]]"
B006A8HR48,[0.1027],[5],"[[zagg, quality, excellent, phone, dumb, cheap]]","[[zagg quality excellent phone dumb cheap, 0.1027, 5]]"
B006ZH4OKO,[0.3384],[4],"[[fit, ipod, issue, velcro, rub, shirt, start, tear, hole, part, shirt, happen, shirt, keep, leave, arm, band, rub, leave, side, chest]]","[[fit ipod issue velcro rub shirt start tear hole part shirt happen shirt keep leave arm band rub leave side chest, 0.3384, 4]]"
