B0000AKAHN,[0.4404],[4],[[backup]],"[[backup, 0.4404, 4]]"
B0009A4LU6,[0.7906],[4],"[[work, great, thanks]]","[[work great thanks, 0.7906, 4]]"
B000KRGI4K,[-0.5423],[4],"[[hold, heart, rate, monitor, fat, american, as, ask]]","[[hold heart rate monitor fat american as ask, -0.5423, 4]]"
B000V53MH2,[-0.2755],[1],"[[piece, junk, fell, apart, week, recommend, anybody]]","[[piece junk fell apart week recommend anybody, -0.2755, 1]]"
B0014NF6NS,[0.0],[5],"[[item, describe]]","[[item describe, 0.0, 5]]"
B001H4B0AC,"[0.5859, 0.7351, 0.296, 0.6249]","[5, 5, 5, 5]","[[broke, gps, holder, year, figure, purchase, holder, work, perfect, issue, set, work], [product], [ok], [perfect, fit, windshield]]","[[broke gps holder year figure purchase holder work perfect issue set work, 0.5859, 5], [product, 0.7351, 5], [ok, 0.296, 5], [perfect fit windshield, 0.6249, 5]]"
B0032UV130,[0.8519],[5],"[[work, great, price, part]]","[[work great price part, 0.8519, 5]]"
B003TQAHY6,[0.2075],[1],"[[volume, control, work, wouldnt, recommend, product]]","[[volume control work wouldnt recommend product, 0.2075, 1]]"
B004EC3B4C,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B004H23JXW,"[-0.3421, 0.6249]","[1, 5]","[[phone, seem, outdated], [get, husband, use, work, family, window, phone, didnt, window, relate, month, start, trouble, charge, phone, phone, charge, switch, android, love, phone]]","[[phone seem outdated, -0.3421, 1], [get husband use work family window phone didnt window relate month start trouble charge phone phone charge switch android love phone, 0.6249, 5]]"
B004N79HGO,[0.4939],[2],"[[cheap, product, picture, take, tint, color, case]]","[[cheap product picture take tint color case, 0.4939, 2]]"
B004SNCANU,[-0.6486],[5],"[[playbook, dead, year, take, charge, charger, brought, life]]","[[playbook dead year take charge charger brought life, -0.6486, 5]]"
B005FUNYSA,"[0.4404, 0.0, -0.2755, 0.3818, -0.7506, 0.0]","[5, 1, 1, 5, 1, 5]","[[dose, job], [phone, respond, device, fit], [item], [cheap, qualitybr, br, work, get, look, micro, usb, connector, pin, use, blade, remove, debris, cover, pin, visiblebr, br, connector, work, hold, force, position, try, clean, unsuccessfulbr, br, standard, usb, port, end, issue, cheap, lookingbr, br, get, work, poor, build, quality], [product, work, describe, hook, variety, device, android, device, android, phone, otg, connection, connect, device, keyboard, mouse, flash, drive], [work]]","[[dose job, 0.4404, 5], [phone respond device fit, 0.0, 1], [item, -0.2755, 1], [cheap qualitybr br work get look micro usb connector pin use blade remove debris cover pin visiblebr br connector work hold force position try clean unsuccessfulbr br standard usb port end issue cheap lookingbr br get work poor build quality, 0.3818, 5], [product work describe hook variety device android device android phone otg connection connect device keyboard mouse flash drive, -0.7506, 1], [work, 0.0, 5]]"
B005NJAP7G,[0.6369],[4],"[[case, look, picture, protects, cell]]","[[case look picture protects cell, 0.6369, 4]]"
B006AF7HY6,[0.4215],[5],"[[quick, deliveryvery, nice, cablesgood, build, ]]","[[quick deliveryvery nice cablesgood build , 0.4215, 5]]"
B006ZRYU9O,"[0.0, 0.7269, 0.2862]","[1, 5, 4]","[[use, day, work, phone, iphones, bite, charge, iphone, keep, get, warn, compatible, hit, ok, begin, charge, walk, shade, warning, come, charge, phone, unit, stationary, work], [get, work, didnt, use, return, policy, expire, lesson, learn, test, product], [lightweight, charge, charge, lg, g, hour, dont, keep, phone, battery, pocket, charge, entire, thing, get, super, hot, buy, extension, usb, cord, keep, shade, product]]","[[use day work phone iphones bite charge iphone keep get warn compatible hit ok begin charge walk shade warning come charge phone unit stationary work, 0.0, 1], [get work didnt use return policy expire lesson learn test product, 0.7269, 5], [lightweight charge charge lg g hour dont keep phone battery pocket charge entire thing get super hot buy extension usb cord keep shade product, 0.2862, 4]]"
B0094B264E,"[-0.3412, -0.5413]","[3, 1]","[[star, option, control, product, work, adjust, volume, selection, buy], [theyre, resending, headphone, better, star, need, see, replacement, get, come, see, work]]","[[star option control product work adjust volume selection buy, -0.3412, 3], [theyre resending headphone better star need see replacement get come see work, -0.5413, 1]]"
B0097LN9MY,[0.679],[5],"[[love, stocking, cosplayer, fell, love, phone, charm, howeverit, tiny, side, pricey, item, chuck, buy, honekoneko, convention, want, animal, show, size, get, mail, tad, bit, disappoint, secret, anyone, collect, silicone, anime, key, chain, glaze, nail, polish, avoid, phone, charm, get, smugdy, dirty, find, instagram, lolirosebunni, ]]","[[love stocking cosplayer fell love phone charm howeverit tiny side pricey item chuck buy honekoneko convention want animal show size get mail tad bit disappoint secret anyone collect silicone anime key chain glaze nail polish avoid phone charm get smugdy dirty find instagram lolirosebunni , 0.679, 5]]"
B0098FKJVI,[0.8173],[5],"[[happy, case, fit, phone, hold, card]]","[[happy case fit phone hold card, 0.8173, 5]]"
B009CRH0QE,"[0.7146, 0.9324]","[5, 3]","[[lot, standby, power, make], [pro, comfortable, wearbr, br, con, br, rate, drop, connection, galaxy, minute, talk, time, end, throw, electronics, recycle, buybr, br, get, headset, worksim, sure, great, im, rating, star, didnt, work, single, star, wouldnt, representative, anything, experience, time, got, decent, review, otherwise]]","[[lot standby power make, 0.7146, 5], [pro comfortable wearbr br con br rate drop connection galaxy minute talk time end throw electronics recycle buybr br get headset worksim sure great im rating star didnt work single star wouldnt representative anything experience time got decent review otherwise, 0.9324, 3]]"
B009GG6MD8,[0.872],[5],"[[gift, girlfriendbr, br, thanks]]","[[gift girlfriendbr br thanks, 0.872, 5]]"
B009XIQ8LU,"[0.8247, 0.8157]","[5, 3]","[[fit, look, scratch, want, something, protect, ipod, dont, want, bulky, cover, get], [product, wish, plastic]]","[[fit look scratch want something protect ipod dont want bulky cover get, 0.8247, 5], [product wish plastic, 0.8157, 3]]"
B00AJVMW8S,[0.8074],[5],"[[product, piece, mind, save, life]]","[[product piece mind save life, 0.8074, 5]]"
