9984576418,[0.0],[2],"[[item, phone]]","[[item phone, 0.0, 2]]"
B0002BEVO8,"[0.306, 0.3612, 0.3919, -0.3412]","[2, 1, 3, 3]","[[install, flimsy, plastic], [trim, get, radio, cage, see, fit, silverado], [fit, advertise, return, painless, extra, star], [fit, cadillac, escalade]]","[[install flimsy plastic, 0.306, 2], [trim get radio cage see fit silverado, 0.3612, 1], [fit advertise return painless extra star, 0.3919, 3], [fit cadillac escalade, -0.3412, 3]]"
B0007WW67G,[0.8481],[5],"[[adapter, car, stereo, give, reception]]","[[adapter car stereo give reception, 0.8481, 5]]"
B001F32OKK,[0.6597],[4],"[[product, okay]]","[[product okay, 0.6597, 4]]"
B001JBH4N0,[-0.2755],[1],"[[screen, flat, connector, fit, ipod, socket, im]]","[[screen flat connector fit ipod socket im, -0.2755, 1]]"
B00264GKVQ,"[0.6249, 0.9708]","[4, 5]","[[foot, pod, lightweight, youll, forget, advise, unclip, pod, youre, wear, run, shoe, run, turn, detect, movementbr, br, word, advice, calibrate, absolute, way, calibrate, run, know, distance, meter, track, school, gps, ok, doesnt, track, time, take, look, run, youll, see, deviation, run, plotbr, br, here, get, calibration, factorbr, br, set, calibration, meter, twice, trackbr, calibration, reset, gps, watch, calibration, run, meter, eachbr, took, mental, note, calibration, factor, add, divide, br, enter, calibration, set, im, setbr, br, happy, run], [take, dog, shallow, water, hold, past, month, run]]","[[foot pod lightweight youll forget advise unclip pod youre wear run shoe run turn detect movementbr br word advice calibrate absolute way calibrate run know distance meter track school gps ok doesnt track time take look run youll see deviation run plotbr br here get calibration factorbr br set calibration meter twice trackbr calibration reset gps watch calibration run meter eachbr took mental note calibration factor add divide br enter calibration set im setbr br happy run, 0.6249, 4], [take dog shallow water hold past month run, 0.9708, 5]]"
B002KO5XVU,"[0.8316, 0.6249, 0.2732, 0.6249, 0.7003, 0.0, 0.6597]","[5, 5, 5, 5, 5, 5, 3]","[[kind, feel, come, phone, bracket, dont, believe, option, bracket, product, none, less], [mount, work, intend, phone, cradle, handle, bar, mount, phone, stay, rock, solid, highway], [ram, product, awesome, check, talk, fast], [ram, product, none, quality, work, period], [ram, product, make, get, job, done], [awesome, mount, excellent, quality]]","[[kind feel come phone bracket dont believe option bracket product none less, 0.8316, 5], [mount work intend phone cradle handle bar mount phone stay rock solid highway, 0.6249, 5], [ram product awesome check talk fast, 0.2732, 5], [ram product none quality work period, 0.6249, 5], [ram product make get job done, 0.7003, 5], [awesome mount excellent quality, 0.0, 5], [, 0.6597, 3]]"
B002OGRZTW,[0.0],[4],"[[replacement, phone, get, job, done]]","[[replacement phone get job done, 0.0, 4]]"
B002QBSYOA,"[0.4125, 0.7778]","[1, 5]","[[excellent, product, service, satisfy], [instruction, value, year, veteran, offshore, travel, assistance, buy, garmi]]","[[excellent product service satisfy, 0.4125, 1], [instruction value year veteran offshore travel assistance buy garmi, 0.7778, 5]]"
B002V3LV70,[0.0],[5],"[[produce, advertise]]","[[produce advertise, 0.0, 5]]"
B002WA506K,[0.3919],[4],"[[go, purchase, replacement, home, button]]","[[go purchase replacement home button, 0.3919, 4]]"
B003COCPPO,"[0.6249, 0.6249]","[4, 4]","[[work, great, want, order], [use, travel]]","[[work great want order, 0.6249, 4], [use travel, 0.6249, 4]]"
B003KN2TGM,"[0.8176, 0.4927, 0.2716]","[5, 5, 5]","[[awesome, give, xtra, kick, nice, clean, sound, way, design, make, damage, sound, speaker, im, look, car], [install, myselfand, love, go, jblwaiting, put, amp, get, install, dodge, avenger], [sound]]","[[awesome give xtra kick nice clean sound way design make damage sound speaker im look car, 0.8176, 5], [install myselfand love go jblwaiting put amp get install dodge avenger, 0.4927, 5], [sound, 0.2716, 5]]"
B003MBB1GG,[-0.1027],[4],"[[work, phone, price, outstandingbr, year, charge, go, deadall, timebr, ill, keep, track, last, year, price, make, ha]]","[[work phone price outstandingbr year charge go deadall timebr ill keep track last year price make ha, -0.1027, 4]]"
B0040IO324,[0.0],[3],"[[dont, come, volume, control]]","[[dont come volume control, 0.0, 3]]"
B0042WGO3Y,"[0.0, 0.0]","[2, 4]","[[work, ipod, adapter, need, garmin, ant], [price, excesive]]","[[work ipod adapter need garmin ant, 0.0, 2], [price excesive, 0.0, 4]]"
B004HMXDRO,[0.0],[5],[[exellent]],"[[exellent, 0.0, 5]]"
B0056C77JE,[0.0],[5],[[look]],"[[look, 0.0, 5]]"
B00582HC60,[0.91],[5],"[[product, come, earlier, expect, work, im, happy, look, something, music, use, cell, talk, great, price, cant, beat]]","[[product come earlier expect work im happy look something music use cell talk great price cant beat, 0.91, 5]]"
B005E4RNGQ,[0.7003],[5],"[[fit, ear, sound]]","[[fit ear sound, 0.7003, 5]]"
B005M2LV4K,[-0.7351],[2],"[[poor, desing, item, broken]]","[[poor desing item broken, -0.7351, 2]]"
B005X273W8,[0.0],[1],"[[product, work, waist, money]]","[[product work waist money, 0.0, 1]]"
B005Y0J1Z6,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B007I4GHFI,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B007XHVPLG,[0.4404],[4],[[aways]],"[[aways, 0.4404, 4]]"
B0085JRQG4,"[0.5719, 0.6249, 0.8979, 0.3716, 0.6808, 0.8176]","[5, 5, 5, 5, 5, 5]","[[work, great], [work, great, son, demolish], [arrive, fast, recommend, friend], [work, great, look, greatbr, super, case, ], [husband, love, order, replace, lens], [l, love, keep, work]]","[[work great, 0.5719, 5], [work great son demolish, 0.6249, 5], [arrive fast recommend friend, 0.8979, 5], [work great look greatbr super case , 0.3716, 5], [husband love order replace lens, 0.6808, 5], [l love keep work, 0.8176, 5]]"
B0087T1S6G,"[-0.6468, 0.2023]","[1, 5]","[[work, fine, year], [phone, crashing, day, reset, basis, longer, service, virgin, mobile, use, htc, v]]","[[work fine year, -0.6468, 1], [phone crashing day reset basis longer service virgin mobile use htc v, 0.2023, 5]]"
B008IB1HPU,[0.9205],[4],"[[person, handle, fall, bead, break, case, open, piecesfront, n, someone, careful, drop, phone]]","[[person handle fall bead break case open piecesfront n someone careful drop phone, 0.9205, 4]]"
B008KPZ7KA,[0.7841],[5],"[[flip, phone, owner, happy, get, holder]]","[[flip phone owner happy get holder, 0.7841, 5]]"
B008O855LE,[0.8385],[5],"[[case, make, fit, think, people, smart, phone, happy, model, phone, find, accessory, need]]","[[case make fit think people smart phone happy model phone find accessory need, 0.8385, 5]]"
B008ZUFOSK,[0.0],[5],[[need]],"[[need, 0.0, 5]]"
B009K7PXZ6,[0.6369],[5],"[[everyone, come, day]]","[[everyone come day, 0.6369, 5]]"
B00A7EF9DC,[0.6249],[5],"[[case, year, choice]]","[[case year choice, 0.6249, 5]]"
B00A7YRIJK,"[-0.3039, 0.6249]","[4, 5]","[[product], [yep, walk, get, house, doesnt, mean, product, rush, didnt, pay, attention, doesnt, fit, phone, check]]","[[product, -0.3039, 4], [yep walk get house doesnt mean product rush didnt pay attention doesnt fit phone check, 0.6249, 5]]"
B00AEYLR0Y,[0.0],[4],[[need]],"[[need, 0.0, 4]]"
B00AFSN8WE,[-0.5499],[5],"[[otterbox, pricey, keep, kid, destroy, ipod]]","[[otterbox pricey keep kid destroy ipod, -0.5499, 5]]"
B00BVV1TSO,[0.4215],[5],"[[nice, travel]]","[[nice travel, 0.4215, 5]]"
B00CD8G68W,[0.8422],[4],"[[get, figure, way, bottom, way, doesnt, turn, im, try, take, offbr, br, case, want, use, class, make, plug, sound, system, im, use, thats, take, walking, thats, get]]","[[get figure way bottom way doesnt turn im try take offbr br case want use class make plug sound system im use thats take walking thats get, 0.8422, 4]]"
B00COIJJCQ,[0.4118],[3],"[[case, bulky, im, sure, imagine, picture, item, stone, fell, month, timespan, use, case, expect]]","[[case bulky im sure imagine picture item stone fell month timespan use case expect, 0.4118, 3]]"
B00CTJO1OQ,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00CXNPV2E,[0.9262],[5],"[[folk, get, beat, anything, motorola, tm, put, fr, gmrs, know, transmit, frequency, range, block, responsibility, know, transmit, transmit, safety, frequency, get, visit, fcc, take, intrusion, make, radio, shtf, situation, frequency, agile, connect, antenna, proper, adapter, amazon, purchase, adapter, make, yagi, antenna, shtf, comms, need, line, look, youtube, video, order, understand, program, frequency, radio, want, use, computer, programming, forget, cd, come, radio, go, miklor, notch, help, downloads, date, software, need, mention, radio, come, liion, battery, go, charge, come, drop, charger, build, flashlight, alarm, loud, cause, lead, flashlight, flash, build, fm, band, receiver, junk, world, quality, circuit, board, fit, finish, plastic, case, look, offering, hfmtrmtrmtrcm, transceiver, distant, futurebr, jam]]","[[folk get beat anything motorola tm put fr gmrs know transmit frequency range block responsibility know transmit transmit safety frequency get visit fcc take intrusion make radio shtf situation frequency agile connect antenna proper adapter amazon purchase adapter make yagi antenna shtf comms need line look youtube video order understand program frequency radio want use computer programming forget cd come radio go miklor notch help downloads date software need mention radio come liion battery go charge come drop charger build flashlight alarm loud cause lead flashlight flash build fm band receiver junk world quality circuit board fit finish plastic case look offering hfmtrmtrmtrcm transceiver distant futurebr jam, 0.9262, 5]]"
B00D25ZV2W,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00DD62YLQ,"[0.6624, 0.5859]","[3, 5]","[[havent, figure, install, doesnt, seem, drop, phone, couple, time, protect], [work, bevel]]","[[havent figure install doesnt seem drop phone couple time protect, 0.6624, 3], [work bevel, 0.5859, 5]]"
B00DN0KBXU,"[0.8971, 0.0, -0.4215, 0.0094]","[5, 4, 1, 5]","[[package, come, connector, werent, suppose, include, need, missing], [usefull, handy, battery, backup, multiple, output, usefull, travel, picnic], [work, samsung, bought, check, phone, reason, return, return, unit, get, year, issue, hold, charge, day, charge], [surface, pro, require, ac, adapter, port, opportunity, test, device, happy]]","[[package come connector werent suppose include need missing, 0.8971, 5], [usefull handy battery backup multiple output usefull travel picnic, 0.0, 4], [work samsung bought check phone reason return return unit get year issue hold charge day charge, -0.4215, 1], [surface pro require ac adapter port opportunity test device happy, 0.0094, 5]]"
B00DOUA1OS,[0.3612],[5],"[[get, good, thank]]","[[get good thank, 0.3612, 5]]"
B00E0KV2BW,"[0.0, 0.0, -0.5859]","[5, 3, 4]","[[work], [manner, battery, phone, made, work], [phone, lose, power, everytime, place, pocket, bounce, reconnected, power, cord, turn, battery, moreproblems]]","[[work, 0.0, 5], [manner battery phone made work, 0.0, 3], [phone lose power everytime place pocket bounce reconnected power cord turn battery moreproblems, -0.5859, 4]]"
B00E8CKHM2,[0.8586],[5],"[[case, fit, cool, design, case, soft, silicone, thats, protective]]","[[case fit cool design case soft silicone thats protective, 0.8586, 5]]"
B00E8GQHM2,[0.872],[5],"[[product, installation, protection]]","[[product installation protection, 0.872, 5]]"
B00EEBDGSY,[0.8988],[4],"[[nd, case, move, iphone, case, iphone, different, form, factor, star, rating, front, cover, plastic, shield, front, camera, front, button, case, price]]","[[nd case move iphone case iphone different form factor star rating front cover plastic shield front camera front button case price, 0.8988, 4]]"
B00EEO4WWA,"[0.9638, 0.8608, 0.8519, 0.6249, 0.3612]","[5, 5, 5, 5, 5]","[[u, say, product, bethanks], [product, look, wayyyyyy, well, stock, radio, jeep, grand, cherokee, make, sound, well, ship, made, purchase], [love], [love], [awesome, system, price]]","[[u say product bethanks, 0.9638, 5], [product look wayyyyyy well stock radio jeep grand cherokee make sound well ship made purchase, 0.8608, 5], [love, 0.8519, 5], [love, 0.6249, 5], [awesome system price, 0.3612, 5]]"
B00EG0C3S2,"[0.6705, 0.3612, 0.8779, 0.9407, 0.5719, 0.296, 0.2023]","[5, 4, 5, 5, 4, 3, 3]","[[everything, fine, notice, quality, issue, case, come, apart, button], [perfect, fit, love], [hop], [drop, phone, lot, cover, love, course, drop, phone, multiple, time, spill, water, get, cover, phone, unharmed, nice, clear, plastic, cover, screen, inhibit, texting, weight, fit, pocket, dont, think, color, option, besides, keep, phone, intact, otter, box], [husband, love, case], [product], [ok]]","[[everything fine notice quality issue case come apart button, 0.6705, 5], [perfect fit love, 0.3612, 4], [hop, 0.8779, 5], [drop phone lot cover love course drop phone multiple time spill water get cover phone unharmed nice clear plastic cover screen inhibit texting weight fit pocket dont think color option besides keep phone intact otter box, 0.9407, 5], [husband love case, 0.5719, 4], [product, 0.296, 3], [ok, 0.2023, 3]]"
B00EKAAVLY,"[0.8704, -0.015, 0.7615]","[3, 2, 4]","[[wear, day, trim, case, turn, jean, use], [sparkle, come, samsung, galaxy, ship], [ok, nothing]]","[[wear day trim case turn jean use, 0.8704, 3], [sparkle come samsung galaxy ship, -0.015, 2], [ok nothing, 0.7615, 4]]"
B00EOABX5S,[-0.5994],[5],"[[work, expect, problem]]","[[work expect problem, -0.5994, 5]]"
B00EP6Y4L6,[0.0],[1],"[[didnt, buy, say]]","[[didnt buy say, 0.0, 1]]"
B00F3IX27W,"[0.6249, -0.5053]","[5, 1]","[[work, great], [phone, break, keep, time, contact, seller, seller, argue, say, broke]]","[[work great, 0.6249, 5], [phone break keep time contact seller seller argue say broke, -0.5053, 1]]"
B00F59AGH8,[0.7841],[5],"[[excellent, phone, good, condition]]","[[excellent phone good condition, 0.7841, 5]]"
B00FDER0L0,"[0.5423, 0.4215, 0.3818]","[5, 3, 5]","[[play, ingres, nexus, imagine, use, thing, get, battery, month, work, today, buy], [hold, charge, day, charge, phone, time, love, trip, suggest, storm, power, outage, trip, store, dont, need, lug], [work, month, month, die, oh, cheap, cheap]]","[[play ingres nexus imagine use thing get battery month work today buy, 0.5423, 5], [hold charge day charge phone time love trip suggest storm power outage trip store dont need lug, 0.4215, 3], [work month month die oh cheap cheap, 0.3818, 5]]"
B00FFZD2NW,"[-0.1027, 0.5423]","[1, 1]","[[case, protects, phone, use, phone, phone, make, talk, listening, person, use, case, waterproofing, screen, fall, month, cant, understand, girlfriend, call, get, defender], [mesh, front, part, speaker, start, fall, apart, day, use, unravel, day, day, hop, stop, button, side, return, refund, think, reason, otterbox, discontinue, case]]","[[case protects phone use phone phone make talk listening person use case waterproofing screen fall month cant understand girlfriend call get defender, -0.1027, 1], [mesh front part speaker start fall apart day use unravel day day hop stop button side return refund think reason otterbox discontinue case, 0.5423, 1]]"
B00FU8M7N0,"[0.8555, 0.6249, 0.0]","[5, 5, 2]","[[wouldnt, close], [arrive, month, pink, look, picture, screen, protector, screen, protector, nice, touch, drop, phone, knee, length], [case, price, cant, beat]]","[[wouldnt close, 0.8555, 5], [arrive month pink look picture screen protector screen protector nice touch drop phone knee length, 0.6249, 5], [case price cant beat, 0.0, 2]]"
B00FWGPWAU,[0.7684],[4],"[[sell, phone, dock, go, dock, work, use, everyday]]","[[sell phone dock go dock work use everyday, 0.7684, 4]]"
B00G002CNW,"[0.6808, -0.7347, -0.2144, -0.3919]","[5, 1, 4, 5]","[[work, good, way, cheep, tool], [lcd, screen, receive, dont, work, headache, argentina, cant, return], [work, bit, pain, install, blame, apple, plenty, youtube, video, walk], [work, squeeze, bit, make, glue, strip, warm]]","[[work good way cheep tool, 0.6808, 5], [lcd screen receive dont work headache argentina cant return, -0.7347, 1], [work bit pain install blame apple plenty youtube video walk, -0.2144, 4], [work squeeze bit make glue strip warm, -0.3919, 5]]"
B00G2DIU2E,[0.957],[5],"[[phone, cover, favorite, flower, sunflower, photography, business, call, sunflower, field, photography, cheery, compliment, give, people, see]]","[[phone cover favorite flower sunflower photography business call sunflower field photography cheery compliment give people see, 0.957, 5]]"
B00GAQ8938,[0.6249],[2],"[[use, c, company, model, q, case, hold, business, card, slite, model, cheap, look, silicone, textured, faux, leather, card, slot, wide, business, card, credit, card, id]]","[[use c company model q case hold business card slite model cheap look silicone textured faux leather card slot wide business card credit card id, 0.6249, 2]]"
B00GHGMO3W,[0.9538],[5],"[[nothing, expectation, meet, sound, quality, pair, love, color]]","[[nothing expectation meet sound quality pair love color, 0.9538, 5]]"
B00GL659XA,[0.8402],[4],"[[change, review, take, couple, run, figure, work, worth, price]]","[[change review take couple run figure work worth price, 0.8402, 4]]"
B00GSZSQQG,[0.807],[5],"[[experience, pleasant, prompt, clearance, excellent, product]]","[[experience pleasant prompt clearance excellent product, 0.807, 5]]"
B00H6EC4P2,[0.3818],[4],"[[get, case, lose, phone, get, today, cant, wait, l, phone, come, see, look, ship, super, fast, color, tad, bit, darker, picture, post, get, phone]]","[[get case lose phone get today cant wait l phone come see look ship super fast color tad bit darker picture post get phone, 0.3818, 4]]"
B00HFOENP2,"[0.5719, 0.8115]","[5, 5]","[[neat, work], [ok, thank]]","[[neat work, 0.5719, 5], [ok thank, 0.8115, 5]]"
B00HUO8RBI,[0.765],[5],"[[buy, recommend, everyone]]","[[buy recommend everyone, 0.765, 5]]"
B00I82MPAU,[0.7717],[5],"[[phone, case, youre, gay, ]]","[[phone case youre gay , 0.7717, 5]]"
B00IJ79CUK,[0.7992],[5],"[[look, case, cutout, button, volume, power, etc, snap, doesnt, come, take, quality, access, side, button]]","[[look case cutout button volume power etc snap doesnt come take quality access side button, 0.7992, 5]]"
B00IN5K4ZA,[0.0],[2],"[[bulky, take, couple, day]]","[[bulky take couple day, 0.0, 2]]"
B00IQMEHNA,[0.9208],[5],"[[grandson, love, case, ipod, love, minecraft, get, case]]","[[grandson love case ipod love minecraft get case, 0.9208, 5]]"
B00J1QBN9Q,[0.9858],[5],"[[thing, loud, voice, volume, control, sound, device, volume, want, something, pack, listen, podcasts, headphone, speaker, feel, nice, palm, hand, size, feel, rugged, wont, feel, throwing, backpack, purse, im, happy, product]]","[[thing loud voice volume control sound device volume want something pack listen podcasts headphone speaker feel nice palm hand size feel rugged wont feel throwing backpack purse im happy product, 0.9858, 5]]"
B00J3DM3Q4,[-0.2165],[1],"[[worth, money, lip, protection, front, protect, anything]]","[[worth money lip protection front protect anything, -0.2165, 1]]"
B00J4F6T5C,[0.9451],[5],"[[glad, order, fit]]","[[glad order fit, 0.9451, 5]]"
