B000230LJK,"[0.6249, 0.6249]","[5, 5]","[[sub, price, purchase, product], [product]]","[[sub price purchase product, 0.6249, 5], [product, 0.6249, 5]]"
B000EBJZDS,[0.0],[5],"[[muy, bueno]]","[[muy bueno, 0.0, 5]]"
B001BFLS4U,[0.7003],[5],"[[quality, price]]","[[quality price, 0.7003, 5]]"
B001F5YS1G,"[0.0, 0.6249]","[3, 5]","[[wiring, kit], [gauge, wire, thicker, gauge, thinner, gauge]]","[[wiring kit, 0.0, 3], [gauge wire thicker gauge thinner gauge, 0.6249, 5]]"
B001NGBTK0,[0.5842],[1],"[[battery, old, oem, mean, date, hold, charge, better, give, refund]]","[[battery old oem mean date hold charge better give refund, 0.5842, 1]]"
B0023NVYYI,"[0.6597, 0.5859]","[5, 3]","[[u, buy, concors, make, u, buy, bunch, slip, wire, garbage], [product, recommend]]","[[u buy concors make u buy bunch slip wire garbage, 0.6597, 5], [product recommend, 0.5859, 3]]"
B002JSVCUS,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B003AOUNIM,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B0050P4B0A,[0.9485],[5],"[[use, case, time, love, way, fit, phone, color, nice, nice, non, slip, rubber, feel, nice, product]]","[[use case time love way fit phone color nice nice non slip rubber feel nice product, 0.9485, 5]]"
B0054JGGD2,[0.0],[5],"[[item, describe]]","[[item describe, 0.0, 5]]"
B005XQN6Y8,[-0.4767],[1],"[[arrive, break]]","[[arrive break, -0.4767, 1]]"
B006X2HHZU,[-0.2732],[5],"[[charge, ipad, motorolla, droid, time]]","[[charge ipad motorolla droid time, -0.2732, 5]]"
B007DDGYF2,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B007STJO6W,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B008FB7PXQ,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B008VPQ8TS,[0.8832],[3],"[[item, think, buy, replace, generation, isonic, radiothis, radio, doesnt, definition, radio, alarm, preset, audio, quality, coming, user, think, radio, ok, accustom, sound, feature, entertainment, center, leave, want, isonicbr, polk, audio, sent, replacement, generation, isonic, radio]]","[[item think buy replace generation isonic radiothis radio doesnt definition radio alarm preset audio quality coming user think radio ok accustom sound feature entertainment center leave want isonicbr polk audio sent replacement generation isonic radio, 0.8832, 3]]"
B009QUDLC4,"[0.5994, 0.5574]","[3, 5]","[[fact, get, set, get, girlfriend, note, break, make, hole]]","[[fact get set get girlfriend note break make hole, 0.5994, 3], [, 0.5574, 5]]"
B00A759A0Y,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00ABR2SXY,[0.3612],[2],"[[paint, use, make, side, case, look, metallic, chip, item, arrive, red, look, shown, picture]]","[[paint use make side case look metallic chip item arrive red look shown picture, 0.3612, 2]]"
B00AUE00CY,[-0.74],[1],"[[look, cool, doesnt, fit, iphone, worthless]]","[[look cool doesnt fit iphone worthless, -0.74, 1]]"
