B0002BG6CI,[0.6249],[5],"[[product, job]]","[[product job, 0.6249, 5]]"
B0013DZ9C2,"[0.4927, 0.9403, 0.6369, 0.6705]","[3, 5, 5, 5]","[[camera, class], [mount, th, wheel, hitch, cant, see, th, wheel, plate, steer, wheel, provide, visibility, let, pin, make, hitching, trailer, snapit, work, perfect, time, use, camera, quit, great, customer, service, replacement, way, asinbdzc, pyle, plcm, rear, view, backup, parking, reverse, camera, license, plate, mount, night, vision, distance, scale, line, swivel, angle, cam], [clear, picture, day, night]]","[[camera class, 0.4927, 3], [mount th wheel hitch cant see th wheel plate steer wheel provide visibility let pin make hitching trailer snapit work perfect time use camera quit great customer service replacement way asinbdzc pyle plcm rear view backup parking reverse camera license plate mount night vision distance scale line swivel angle cam, 0.9403, 5], [clear picture day night, 0.6369, 5], [, 0.6705, 5]]"
B001JJRDVU,[0.5719],[5],"[[excellent, protector]]","[[excellent protector, 0.5719, 5]]"
B00348KPZ0,[0.6369],[5],"[[creamlotion, use]]","[[creamlotion use, 0.6369, 5]]"
B003ZX8B0U,"[0.6369, 0.5994, 0.6249]","[5, 5, 5]","[[work, great, money], [work, charm, remember, folk, update, update], [love]]","[[work great money, 0.6369, 5], [work charm remember folk update update, 0.5994, 5], [love, 0.6249, 5]]"
B005NINA2Y,[0.6908],[4],"[[nice, case, good, use, watch, movie]]","[[nice case good use watch movie, 0.6908, 4]]"
B006D6VIP6,"[0.765, 0.0]","[3, 1]","[[work, week, doesnt, hold, anything, get, use, ride, leastbr, idea, geocaching, bike], [phone, fell, use, smash, nothing, hold, bounce, rid, road, bounce]]","[[work week doesnt hold anything get use ride leastbr idea geocaching bike, 0.765, 3], [phone fell use smash nothing hold bounce rid road bounce, 0.0, 1]]"
B006O3LSJ4,[0.8271],[3],[[use]],"[[use, 0.8271, 3]]"
B007AX5K5A,[0.8074],[4],[[fit]],"[[fit, 0.8074, 4]]"
B007GEE2S4,"[0.8922, 0.7964]","[5, 5]","[[bit, steep, price, sound, good, match, cm, storm, mouse, keyboard], [price, love]]","[[bit steep price sound good match cm storm mouse keyboard, 0.8922, 5], [price love, 0.7964, 5]]"
B007R7IEES,[0.3182],[5],"[[cool, case, guess]]","[[cool case guess, 0.3182, 5]]"
B007TSERYG,[-0.5719],[1],"[[charge, overnight, unit, work, minute, sting, inputting, address, turn, plug, automobile, power, outlet, unit, replace, less, week, units]]","[[charge overnight unit work minute sting inputting address turn plug automobile power outlet unit replace less week units, -0.5719, 1]]"
B0085VHQIK,[0.0],[3],"[[sound, quality, item, inexpensive, drawback, unit, get, plug, work, price, work, need]]","[[sound quality item inexpensive drawback unit get plug work price work need, 0.0, 3]]"
B008CPUJAQ,"[0.4404, 0.0, 0.4754, -0.2498]","[5, 5, 5, 2]","[[lot, return, cost, worth], [u, buy, something, cheap, look, quality, headphone, serve, time, u, tell], [earbuds, expect], [satisfy]]","[[lot return cost worth, 0.4404, 5], [u buy something cheap look quality headphone serve time u tell, 0.0, 5], [earbuds expect, 0.4754, 5], [satisfy, -0.2498, 2]]"
B00932EOJE,[0.0],[5],[[exelent]],"[[exelent, 0.0, 5]]"
B0093772P2,[0.9094],[5],"[[slide, isnt, slippery, slide, surface, isnt, pocket, love, vibrant]]","[[slide isnt slippery slide surface isnt pocket love vibrant, 0.9094, 5]]"
B009LRNGXQ,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B009MW4ZMG,[-0.6113],[2],"[[make, tail, fell]]","[[make tail fell, -0.6113, 2]]"
B009RXWMMU,[-0.7013],[1],"[[see, didnt, fit, iphone, c, claim, deserves, star, couldnt, get, phone, picture]]","[[see didnt fit iphone c claim deserves star couldnt get phone picture, -0.7013, 1]]"
B009WDKH6I,"[-0.4588, 0.0729, 0.624, -0.8835]","[3, 3, 4, 2]","[[make, people, im, bigger, average, get, arm], [didnt, armband, get, pay, think, get, phone, case, felt, arm, stiff, velcro, bit, stuck, weird, angle, use, minute, take, hid, tree, carry, phone], [fit, arm, phone, complaint, strap, arm], [fit, phone]]","[[make people im bigger average get arm, -0.4588, 3], [didnt armband get pay think get phone case felt arm stiff velcro bit stuck weird angle use minute take hid tree carry phone, 0.0729, 3], [fit arm phone complaint strap arm, 0.624, 4], [fit phone, -0.8835, 2]]"
B009ZP8KJO,[-0.6381],[1],"[[fake, knock, didnt, fit, iphone]]","[[fake knock didnt fit iphone, -0.6381, 1]]"
B00A3NI8K8,"[0.0, 0.3252, 0.0, 0.0, -0.6024, -0.5724, -0.6245, 0.0, 0.4404, -0.4215, -0.4767, -0.2057, 0.0, -0.2732, -0.6597, 0.0]","[1, 1, 1, 5, 3, 2, 1, 5, 1, 1, 1, 2, 3, 1, 1, 1]","[[get, mail, happy, order, use, couple, month, find, become, loose, difficult, use, moe, charger, work], [didnt, work, waste, money, throw, get, star, couldnt, post, zero, star], [product, doesnt, seem, work, fire, take, day, power, reach, im, please, product], [didnt, work], [charger, charge, slow, reccommend], [charging, buy, good], [item, use, overnight, add, charge, kindle, fire, use, kindle, access, kindle, plug, cheap, useless], [charge, keep, device, charge, play, purchase], [receive, picture], [charger, work, fact, revers, charge, kindle], [poor, charger], [didnt, work], [didnt, work], [charger, didnt, work, kindle, waste, money], [appears, regular, phone, charger, kindle, charger], [doesnt, charge]]","[[get mail happy order use couple month find become loose difficult use moe charger work, 0.0, 1], [didnt work waste money throw get star couldnt post zero star, 0.3252, 1], [product doesnt seem work fire take day power reach im please product, 0.0, 1], [didnt work, 0.0, 5], [charger charge slow reccommend, -0.6024, 3], [charging buy good, -0.5724, 2], [item use overnight add charge kindle fire use kindle access kindle plug cheap useless, -0.6245, 1], [charge keep device charge play purchase, 0.0, 5], [receive picture, 0.4404, 1], [charger work fact revers charge kindle, -0.4215, 1], [poor charger, -0.4767, 1], [didnt work, -0.2057, 2], [didnt work, 0.0, 3], [charger didnt work kindle waste money, -0.2732, 1], [appears regular phone charger kindle charger, -0.6597, 1], [doesnt charge, 0.0, 1]]"
B00A9G70Q2,[0.7964],[3],"[[like, thickness, agree, others, end, go, ipad, make, sure, plug, way]]","[[like thickness agree others end go ipad make sure plug way, 0.7964, 3]]"
