B000BT5HFS,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00152FEQW,[0.0],[5],[[battthanks]],"[[battthanks, 0.0, 5]]"
B001DSOSE2,[0.1779],[5],"[[sub, add, miss, sound, boat, stereo]]","[[sub add miss sound boat stereo, 0.1779, 5]]"
B001R9AEZY,"[0.4404, 0.4404]","[5, 5]",[[batt]],"[[batt, 0.4404, 5], [, 0.4404, 5]]"
B001TJK5QK,[0.0],[5],"[[work, describe, get, need]]","[[work describe get need, 0.0, 5]]"
B002PNU2IK,[0.5719],[5],"[[excellent, quality]]","[[excellent quality, 0.5719, 5]]"
B002RU92WI,"[0.8481, -0.1531]","[5, 1]","[[amp, stop, woring, day, want, money], [hook, today, work, thump, competition, great, ship]]","[[amp stop woring day want money, 0.8481, 5], [hook today work thump competition great ship, -0.1531, 1]]"
B003EXMSFK,[0.8464],[4],"[[find, live, expectation, substitute, headset, something, sound, tie, bill, walk, exercise]]","[[find live expectation substitute headset something sound tie bill walk exercise, 0.8464, 4]]"
B003U6628A,[0.6249],[5],[[phone]],"[[phone, 0.6249, 5]]"
B004LJK3P8,[0.0],[5],"[[cheap, work]]","[[cheap work, 0.0, 5]]"
B004TIHL4C,[0.743],[5],"[[protects, ipad, mini]]","[[protects ipad mini, 0.743, 5]]"
B004WOBMIY,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B004YTLZHU,[0.0],[4],"[[cheaper, make, got]]","[[cheaper make got, 0.0, 4]]"
B005M3518G,[0.0],[2],"[[buy, becausebr, suppose, unlock, noti, send, managua, nicaragua, work, need, unlock]]","[[buy becausebr suppose unlock noti send managua nicaragua work need unlock, 0.0, 2]]"
B005P16UFS,[0.4754],[5],"[[nice, case, quality]]","[[nice case quality, 0.4754, 5]]"
B005YW2CP0,"[0.6249, 0.4404]","[5, 5]","[[product], [put, car, phone, ipod, connect, dvd, player, work]]","[[product, 0.6249, 5], [put car phone ipod connect dvd player work, 0.4404, 5]]"
B006FMDVDK,"[0.7351, -0.5477, 0.4927, 0.0, 0.0, -0.2023, -0.1695, 0.7783]","[5, 5, 5, 5, 5, 2, 1, 5]","[[gift, course, love], [phone, charge, cause, battery, dy, use, phone, day], [worth, star, phone, version, wifi, doesnt, work, facetime], [purchase, elaborate, product, online, purchase, packaging, protect, product, damage, occur, travel, part, phone, appear, buy, apple, store], [quick, ship, work, expect], [expect], [seller, product], [excellent, thank]]","[[gift course love, 0.7351, 5], [phone charge cause battery dy use phone day, -0.5477, 5], [worth star phone version wifi doesnt work facetime, 0.4927, 5], [purchase elaborate product online purchase packaging protect product damage occur travel part phone appear buy apple store, 0.0, 5], [quick ship work expect, 0.0, 5], [expect, -0.2023, 2], [seller product, -0.1695, 1], [excellent thank, 0.7783, 5]]"
B006LAOJK0,[0.3182],[4],"[[fit, start, chip]]","[[fit start chip, 0.3182, 4]]"
B006LNIX72,[0.6233],[5],"[[ipad, accessory, purchase, officemax, year, use, rubber, circle, part, start, come, loose, doesnt, affect, functionality, suppose, slide, surface, rubber, grip, find, amazon, less, pay, couldnt, say, nobr, use, stand, hold, device, walk, take, note, give, presentation]]","[[ipad accessory purchase officemax year use rubber circle part start come loose doesnt affect functionality suppose slide surface rubber grip find amazon less pay couldnt say nobr use stand hold device walk take note give presentation, 0.6233, 5]]"
B007105EEE,[0.6369],[5],"[[order, mirror, screen, protector, ipod, scratch, less, scratch, bind, happen, regardless, ipod, purse, im, use, notice, id, buy]]","[[order mirror screen protector ipod scratch less scratch bind happen regardless ipod purse im use notice id buy, 0.6369, 5]]"
B00752ZKU6,"[0.6249, 0.8689, 0.9744, 0.0, 0.8737, 0.431, 0.6369, 0.5574]","[5, 5, 5, 2, 4, 5, 5, 5]","[[stylus, use, product, put, order, family, love, price, come, tip, recommend, everyone], [deal, price, quality, single, stylus, price], [order, twice], [lose, grab, show, back, ups], [slippery], [nice, great, love, find, tip, endsalways, flip, annoy], [describe, cant, beat, price, kid, use, bit, rougher, im, sure, ill, order], [perfect, sign, apple, pay, signature, run, nowadays, fit, wallet, look, great]]","[[stylus use product put order family love price come tip recommend everyone, 0.6249, 5], [deal price quality single stylus price, 0.8689, 5], [order twice, 0.9744, 5], [lose grab show back ups, 0.0, 2], [slippery, 0.8737, 4], [nice great love find tip endsalways flip annoy, 0.431, 5], [describe cant beat price kid use bit rougher im sure ill order, 0.6369, 5], [perfect sign apple pay signature run nowadays fit wallet look great, 0.5574, 5]]"
