B0007KK256,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B000KNNKVS,"[0.3252, 0.0, -0.6197]","[1, 1, 1]","[[piece, st, nothing, help, domen, nothing, waste, money, gimmick], [work, didnt, anything, waste, money], [work]]","[[piece st nothing help domen nothing waste money gimmick, 0.3252, 1], [work didnt anything waste money, 0.0, 1], [work, -0.6197, 1]]"
B000P0ZX7K,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B001IB2120,"[0.0, -0.3664, 0.4754, 0.8519]","[5, 3, 5, 5]","[[buy, march, apply, hold, phone, mount, slip, movement, didnt, want, love, itbr, br, summer, hit, jersey, heatwave, jersey, summer, arent, le, month, summer, keep, use, product, id, buy, time, year, sucksbr, br, say, went, pad, come, marking, leave, dash, greatbr, br, live, mild, climate, cant, beat, wherever, get, heat, weary, buy, bulk], [aaa, order], [work, great, buy, recommend, anyone]]","[[buy march apply hold phone mount slip movement didnt want love itbr br summer hit jersey heatwave jersey summer arent le month summer keep use product id buy time year sucksbr br say went pad come marking leave dash greatbr br live mild climate cant beat wherever get heat weary buy bulk, 0.0, 5], [aaa order, -0.3664, 3], [work great buy recommend anyone, 0.4754, 5], [, 0.8519, 5]]"
B001OD2OAQ,"[0.0, 0.4404]","[1, 4]","[[product], [cheap, product, work, month, purchasewaste, money]]","[[product, 0.0, 1], [cheap product work month purchasewaste money, 0.4404, 4]]"
B001RJU4TA,"[0.7269, 0.8802, -0.3171]","[3, 3, 2]","[[unit, price, week, lead, start, flicker, burn, dont, think, anyway, replace], [fm, transmitter, clear, use, head, phone, there, volume, install], [install, instruction, tell, ground, wire, red, yellow, wire, order, backwards, list, wire, non, existant, get, instal, youtube, video, screen, clear, sound, ok, fm, radio, station, deal, nothing, worth, star, look, use, pay, amazon, price, list, use, open, product, make, perfect, condition, scratch, work, give, star, recommend]]","[[unit price week lead start flicker burn dont think anyway replace, 0.7269, 3], [fm transmitter clear use head phone there volume install, 0.8802, 3], [install instruction tell ground wire red yellow wire order backwards list wire non existant get instal youtube video screen clear sound ok fm radio station deal nothing worth star look use pay amazon price list use open product make perfect condition scratch work give star recommend, -0.3171, 2]]"
B00280QJFU,[0.6597],[5],"[[buy, piece, day, phone, price]]","[[buy piece day phone price, 0.6597, 5]]"
B002U5UD8C,[-0.3182],[5],"[[installation, trouble, buy, part, include]]","[[installation trouble buy part include, -0.3182, 5]]"
B003K9BKAW,[0.6369],[5],[[expect]],"[[expect, 0.6369, 5]]"
B003TR58KS,"[0.7579, 0.807]","[4, 5]","[[product, please], [value, handy]]","[[product please, 0.7579, 4], [value handy, 0.807, 5]]"
B0047NFISK,[0.7964],[4],"[[fit, wish, dragonfly]]","[[fit wish dragonfly, 0.7964, 4]]"
B004BBHYBM,[0.8342],[5],"[[mount, gps, havent, problem, month, product]]","[[mount gps havent problem month product, 0.8342, 5]]"
B004DVE2U6,[0.7906],[3],"[[face, plate, cover, fit]]","[[face plate cover fit, 0.7906, 3]]"
B004GPE4DY,[-0.2755],[1],"[[didnt, fit, phone, thing, sit, threw]]","[[didnt fit phone thing sit threw, -0.2755, 1]]"
B004TAO71U,[0.6802],[5],"[[sound, nice, doesnt, hit, think]]","[[sound nice doesnt hit think, 0.6802, 5]]"
B004ZN752Y,[0.0],[4],"[[alternative, less, price, buy, product, verizon, store]]","[[alternative less price buy product verizon store, 0.0, 4]]"
B0057QYF2G,"[-0.6733, 0.8242, 0.5719]","[3, 5, 5]","[[doesnt, sirius, onyx, radio, power, connector, jam, mount, plate, mount, work, modification, fyi, trouble, side, tape, come, loose, textured, trying, mount, try, side, tape, primer, see, work], [purchase, boyfriend, work, truck, say, work, perfect], [nice, xm, fall, place, car, work]]","[[doesnt sirius onyx radio power connector jam mount plate mount work modification fyi trouble side tape come loose textured trying mount try side tape primer see work, -0.6733, 3], [purchase boyfriend work truck say work perfect, 0.8242, 5], [nice xm fall place car work, 0.5719, 5]]"
B005CRPU74,"[0.0, 0.4404, 0.7906, -0.6249, 0.7906, 0.0]","[5, 1, 5, 1, 5, 3]","[[camera, use], [phone, need, battery, power, work, thanks], [work, thanks], [worst], [wont, hold, charge], [awesome, thanks]]","[[camera use, 0.0, 5], [phone need battery power work thanks, 0.4404, 1], [work thanks, 0.7906, 5], [worst, -0.6249, 1], [wont hold charge, 0.7906, 5], [awesome thanks, 0.0, 3]]"
B005EVCW9W,[-0.4215],[2],[[break]],"[[break, -0.4215, 2]]"
B005HN1UJ0,"[0.296, 0.2732, 0.4754, 0.9474, 0.5777, 0.0]","[4, 5, 2, 5, 5, 5]","[[wife, us, shes, please], [want, gps, computer, get, accurate, distance, precise, measurement, front, wheel, past, work, finebr, br, expect, wait, minute, computer, find, gps, satellite, start, ride, satellite, find, want, computer, work, spoil, iphone, make, wait, locates, satellite, need, hire, product, designer, apple, improve, user, interfacebr, br, annoyance, battery, dy, overnight, forget, turn, digital, camera, use, energy, idle, battery, cateye, computer, last, year, turn, garmin, make, product, well], [simple, use, reliable, price], [edge, work, issue, time, get, find, gps, case, power, get, work, issue, work, tell, mileage, estimation, ], [say, need, dont, need, anymore, feature], [bike, computer, terrific, price, newer, model, come, need, speed, time, distance, work, champ, need, gps, direction, color, bw, screen, bright, daylightbr, br, case, anyone, interest, work, zone, sporttracks, software, supply, gps]]","[[wife us shes please, 0.296, 4], [want gps computer get accurate distance precise measurement front wheel past work finebr br expect wait minute computer find gps satellite start ride satellite find want computer work spoil iphone make wait locates satellite need hire product designer apple improve user interfacebr br annoyance battery dy overnight forget turn digital camera use energy idle battery cateye computer last year turn garmin make product well, 0.2732, 5], [simple use reliable price, 0.4754, 2], [edge work issue time get find gps case power get work issue work tell mileage estimation , 0.9474, 5], [say need dont need anymore feature, 0.5777, 5], [bike computer terrific price newer model come need speed time distance work champ need gps direction color bw screen bright daylightbr br case anyone interest work zone sporttracks software supply gps, 0.0, 5]]"
B0076YVKJS,"[0.8685, -0.8074]","[5, 3]","[[there, warn, lose, charge, itll, turn, warn, there, charge, leave], [excellent, truck, driver, family, arrive, sooner, expect, packaging, microphone, earpiece, clear]]","[[there warn lose charge itll turn warn there charge leave, 0.8685, 5], [excellent truck driver family arrive sooner expect packaging microphone earpiece clear, -0.8074, 3]]"
B007B5V952,[0.7684],[5],"[[eh, kind, bling]]","[[eh kind bling, 0.7684, 5]]"
B007E5HLW4,[0.1814],[3],"[[get, pay, reason, display, become, take, get, keep, case, cover, dont, hit, make]]","[[get pay reason display become take get keep case cover dont hit make, 0.1814, 3]]"
B007K3TIBW,[0.5994],[5],"[[wife, love]]","[[wife love, 0.5994, 5]]"
B007NTTHLE,[0.5806],[3],"[[case, cheap, feel, look, clip, work, advertise, guess, dont, hate]]","[[case cheap feel look clip work advertise guess dont hate, 0.5806, 3]]"
B007P7JF52,[0.5729],[4],"[[nice, phone, get, update, sort, vital, get, micro, sd]]","[[nice phone get update sort vital get micro sd, 0.5729, 4]]"
